#separator:tab
#html:true
#columns:Front	Back	Tags
【第102回 問1】物理・分析の基礎・バリデーション<br><br>次の関係式のうち、正しいのはどれか。1つ選べ。<br><br>1. 1kHz ＝ 1× 10□Hz<br>2. 1nm ＝ 1× 10□□m<br>3. 1ppm ＝ 1× 10□□％<br>4. 1μg ＝ 1× 10□□g<br>5. 1w/v％ ＝ 1× 10□g/L	<b>正答：2</b><br>1nm ＝ 1× 10□□m<br><br>テーマ：分析の基礎・バリデーション（10年10問・6/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::分析の基礎_バリデーション 第102回
【第107回 問45】薬剤・薬物動態パラメータ・計算　🔢計算<br><br>体内動態が1︲コンパートメントモデルに従う薬物800 mg をヒトに単回静脈内投与したところ、投与直後の血中濃度は40 ng/mL、投与6時間後の血中濃度は5 ng/mL であった。この薬物の消失速度定数（h-1）に最も近い値はどれか。1つ選べ。ただし、ln2 = 0 . 69とする。<br><br>1. 0 . 12<br>2. 0 . 23<br>3. 0 . 35<br>4. 0 . 69<br>5. 2 . 0	<b>正答：3</b><br>0 . 35<br><br>テーマ：薬物動態パラメータ・計算（10年26問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::薬物動態パラメータ_計算 第107回 flag::計算
【第107回 問46】薬剤・排泄　📐図・構造式<br><br>健常人におけるイヌリンの血漿中濃度と尿中排泄速度との関係を正しく表したグラフはどれか。1つ選べ。 i ） n m / g m （度速泄排中尿 i ） n m / g m （度速泄排中尿10 0 0 10 0 0血漿中濃度（mg/dL）10 10 i ） n m / g m （度速泄排中尿 i ） n m / g m （度速泄排中尿10 0 0 10 0 0 i ） n m / g m （度速泄排中尿10 0 0 10 10血漿中濃度（mg/dL）血漿中濃度（mg/dL）10血漿中濃度（mg/dL）血漿中濃度（mg/dL）<br><br>※図・構造式が必要な問題です	<b>正答：4</b><br><br>テーマ：排泄（10年7問・7/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::排泄 第107回 flag::図
【第107回 問47】薬剤・相互作用・TDM<br><br>炭酸水素ナトリウムの併用によって、キニジンの血中濃度が上昇する原因として最も適切なのはどれか。1つ選べ。<br><br>1. 消化管吸収の阻害<br>2. 肝代謝酵素の阻害<br>3. 胆汁排泄の促進<br>4. 腎尿細管分泌の促進<br>5. 腎尿細管再吸収の促進	<b>正答：5</b><br>腎尿細管再吸収の促進<br><br>テーマ：相互作用・TDM（10年5問・5/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::相互作用_TDM 第107回
【第107回 問48】薬剤・製剤材料の物性　📐図・構造式<br><br>図は、結晶固体及び非晶質固体の比容積と温度との関係を示したものである。温度アが示すのはどれか。1つ選べ。液体過冷却液体積容比ガラス結晶ア温度<br><br>1. 凝固点<br>2. 沸点<br>3. ガラス転移点<br>4. 融点<br>5. 結晶化温度	<b>正答：3</b><br>ガラス転移点<br><br>テーマ：製剤材料の物性（10年35問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::製剤材料の物性 第107回 flag::図
【第107回 問49】薬剤・製剤材料の物性<br><br>分散系における分散相と分散媒の組合せのうち、正しいのはどれか。1つ選べ。性状分散相サスペンションエマルションエアゾールフォーム（泡沫）キセロゲル固体液体気体液体固体分散媒気体液体液体又は固体気体液体<br><br>※図・構造式が必要な問題です	<b>正答：2</b><br><br>テーマ：製剤材料の物性（10年35問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::製剤材料の物性 第107回
【第107回 問50】薬剤・分布<br><br>水性懸濁液中の粒子の分散安定性を高めるために添加される半合成高分子はどれか。1つ選べ。<br><br>1. ポビドン<br>2. メタクリル酸コポリマー<br>3. アルブミン<br>4. カルメロースナトリウム<br>5. アラビアゴム	<b>正答：4</b><br>カルメロースナトリウム<br><br>テーマ：分布（10年9問・5/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::分布 第107回
【第107回 問51】薬剤・吸収・膜透過<br><br>日本薬局方において、「経口投与する、液状又は流動性のある粘稠なゲル状の製剤」と定義されているのはどれか。1つ選べ。<br><br>1. 発泡顆粒剤<br>2. 経口ゼリー剤<br>3. シロップ剤<br>4. 口腔内崩壊フィルム剤<br>5. 経口液剤	<b>正答：5</b><br>経口液剤<br><br>テーマ：吸収・膜透過（10年28問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::吸収_膜透過 第107回
【第107回 問52】薬剤・製剤各論・製剤総則<br><br>全身作用を目的としたナファレリン酢酸塩水和物製剤の適用部位として、最も適切なのはどれか。1つ選べ。<br><br>1. 眼<br>2. 肺<br>3. 鼻<br>4. 皮膚<br>5. 耳	<b>正答：3</b><br>鼻<br><br>テーマ：製剤各論・製剤総則（10年13問・8/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::製剤各論_製剤総則 第107回
【第107回 問53】薬剤・製剤各論・製剤総則<br><br>小児の誤飲防止を目的として用いられる包装はどれか。1つ選べ。<br><br>1. PTP（Press Through Package）包装<br>2. SP（Strip Package）包装<br>3. ピロー包装<br>4. タンパレジスタント包装<br>5. チャイルドレジスタンス包装	<b>正答：5</b><br>チャイルドレジスタンス包装<br><br>テーマ：製剤各論・製剤総則（10年13問・8/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::製剤各論_製剤総則 第107回
【第107回 問54】薬剤・分布　⚠️否定形<br><br>薬物送達システム（DDS）の概念に基づいて製剤を開発する際の利点として、誤っているのはどれか。1つ選べ。<br><br>1. 病巣部位への薬物の集積<br>2. 薬効の持続化<br>3. 血液脳関門の透過性改善<br>4. 腎排泄の増大<br>5. 副作用の軽減	<b>正答：4</b><br>腎排泄の増大<br><br>テーマ：分布（10年9問・5/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::分布 第107回 flag::否定形
【第107回 問55】薬剤・吸収・膜透過<br><br>吸収促進剤の添加により水溶性薬物の吸収を改善した薬剤はどれか。1つ選べ。<br><br>1. バラシクロビル錠<br>2. セフチゾキシムナトリウム坐剤<br>3. イトラコナゾール内用液<br>4. シクロスポリン内用液<br>5. カンデサルタンシレキセチル錠	<b>正答：2</b><br>セフチゾキシムナトリウム坐剤<br><br>テーマ：吸収・膜透過（10年28問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::吸収_膜透過 第107回
【第107回 問56】病態・薬物治療・免疫・膠原病・血液疾患<br><br>全身性エリテマトーデス（SLE）に特異性の高い抗体はどれか。1つ選べ。<br><br>1. 抗チログロブリン抗体（抗サイログロブリン抗体）<br>2. 抗二本鎖 DNA 抗体<br>3. 抗 CCP 抗体（抗環状シトルリン化ペプチド抗体）<br>4. 抗 Jo︲1抗体<br>5. 抗 GAD 抗体（抗グルタミン酸デカルボキシラーゼ抗体）	<b>正答：2</b><br>抗二本鎖 DNA 抗体<br><br>テーマ：免疫・膠原病・血液疾患（10年8問・8/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::免疫_膠原病_血液疾患 第107回
【第107回 問57】病態・薬物治療・副作用・薬剤性疾患<br><br>間質性肺炎の指標として、特異度が高いのはどれか。1つ選べ。<br><br>1. アミラーゼ（AMY）<br>2. 脳性ナトリウム利尿ペプチド（BNP）<br>3. クレアチンキナーゼ（CK）<br>4. グリコヘモグロビン（HbA1c）<br>5. シアル化糖鎖抗原（KL︲6）	<b>正答：5</b><br>シアル化糖鎖抗原（KL︲6）<br><br>テーマ：副作用・薬剤性疾患（10年18問・9/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::副作用_薬剤性疾患 第107回
【第107回 問58】病態・薬物治療・精神・神経疾患<br><br>重症筋無力症の初発症状として、最も頻度が高いのはどれか。1つ選べ。<br><br>1. 手指の振戦<br>2. 嚥下障害<br>3. 四肢の麻痺<br>4. 眼瞼下垂<br>5. 発熱	<b>正答：4</b><br>眼瞼下垂<br><br>テーマ：精神・神経疾患（10年16問・8/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::精神_神経疾患 第107回
【第107回 問59】病態・薬物治療・精神・神経疾患<br><br>健常者におけるレム睡眠に関する記述のうち、正しいのはどれか。1つ選べ。<br><br>1. 急速な眼球運動が特徴である。<br>2. 筋肉の緊張が亢進する。<br>3. 入眠直後に多い。<br>4. 脳波で高振幅徐波を認める。<br>5. 加齢とともに増加する。	<b>正答：1</b><br>急速な眼球運動が特徴である。<br><br>テーマ：精神・神経疾患（10年16問・8/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::精神_神経疾患 第107回
【第107回 問60】病態・薬物治療・精神・神経疾患<br><br>自動車の運転等危険を伴う機械の操作に従事させないよう注意する薬剤はどれか。1つ選べ。<br><br>1. タムスロシン塩酸塩錠<br>2. クロルマジノン酢酸エステル錠<br>3. セルニチンポーレンエキス錠<br>4. フルタミド錠<br>5. エストラムスチンリン酸エステルナトリウム水和物カプセルせん	<b>正答：1</b><br>タムスロシン塩酸塩錠<br><br>テーマ：精神・神経疾患（10年16問・8/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::精神_神経疾患 第107回
【第107回 問61】病態・薬物治療・精神・神経疾患<br><br>閃き輝あん暗てん点を伴うことがある頭痛はどれか。1つ選べ。<br><br>1. 片頭痛<br>2. 反復性緊張型頭痛<br>3. 慢性緊張型頭痛<br>4. 反復性群発頭痛<br>5. 慢性群発頭痛	<b>正答：1</b><br>片頭痛<br><br>テーマ：精神・神経疾患（10年16問・8/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::精神_神経疾患 第107回
【第107回 問62】病態・薬物治療・精神・神経疾患<br><br>依存性の最も少ない薬物はどれか。1つ選べ。<br><br>1. ペンタゾシン<br>2. メチルフェニデート<br>3. グアンファシン<br>4. メタンフェタミン<br>5. ペモリン	<b>正答：3</b><br>グアンファシン<br><br>テーマ：精神・神経疾患（10年16問・8/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::精神_神経疾患 第107回
【第107回 問63】病態・薬物治療・産婦人科・小児・皮膚眼科ほか<br><br>子宮内膜症の治療に用いる薬剤はどれか。1つ選べ。<br><br>1. エチニルエストラジオール錠<br>2. エンザルタミド錠<br>3. オキシトシン注<br>4. リュープロレリン酢酸塩注<br>5. レトロゾール錠	<b>正答：4</b><br>リュープロレリン酢酸塩注<br><br>テーマ：産婦人科・小児・皮膚眼科ほか（10年6問・6/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::産婦人科_小児_皮膚眼科ほか 第107回
【第107回 問64】病態・薬物治療・検査値・臨床検査<br><br>急性胆管炎に関する記述のうち、正しいのはどれか。1つ選べ。<br><br>1. 左下腹部に痛みを生じる。<br>2. 発熱を伴うことはまれである。<br>3. 血中白血球数が減少する。<br>4. 血清 ALP（アルカリフォスファターゼ）活性が上昇する。<br>5. 血中間接ビリルビン値が上昇する。	<b>正答：4</b><br>血清 ALP（アルカリフォスファターゼ）活性が上昇する。<br><br>テーマ：検査値・臨床検査（10年7問・5/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::検査値_臨床検査 第107回
【第107回 問65】病態・薬物治療・代謝・内分泌疾患<br><br>原発性アルドステロン症の臨床所見として、正しいのはどれか。1つ選べ。<br><br>1. 低血圧症<br>2. 低ナトリウム血症<br>3. 低カリウム血症<br>4. インスリン分泌の増加<br>5. レニン活性の上昇	<b>正答：3</b><br>低カリウム血症<br><br>テーマ：代謝・内分泌疾患（10年15問・7/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::代謝_内分泌疾患 第107回
【第107回 問66】病態・薬物治療・呼吸器・アレルギー疾患<br><br>活性型ビタミン D3外用薬が適用される皮膚疾患はどれか。1つ選べ。<br><br>1. 接触性皮膚炎<br>2. 爪白癬<br>3. アトピー性皮膚炎<br>4. じん麻疹<br>5. 尋常性乾癬	<b>正答：5</b><br>尋常性乾癬<br><br>テーマ：呼吸器・アレルギー疾患（10年12問・7/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::呼吸器_アレルギー疾患 第107回
【第107回 問67】病態・薬物治療・がん<br><br>がん終末期における呼吸困難に対する治療薬はどれか。1つ選べ。<br><br>1. アセトアミノフェン<br>2. アドレナリン<br>3. スキサメトニウム<br>4. デキストロメトルファン<br>5. モルヒネ	<b>正答：5</b><br>モルヒネ<br><br>テーマ：がん（10年13問・9/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::がん 第107回
【第107回 問68】病態・薬物治療・医薬品情報・EBM　⚠️否定形<br><br>組換え体医薬品でないのはどれか。1つ選べ。<br><br>1. アルテプラーゼ<br>2. カルペリチド<br>3. ソラフェニブ<br>4. ニボルマブ<br>5. レノグラスチム	<b>正答：3</b><br>ソラフェニブ<br><br>テーマ：医薬品情報・EBM（10年11問・7/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::医薬品情報_EBM 第107回 flag::否定形
【第107回 問69】病態・薬物治療・医薬品情報・EBM<br><br>厚生労働省が発行する資料はどれか。1つ選べ。<br><br>1. 医療用医薬品添付文書<br>2. 医薬品インタビューフォーム<br>3. 医薬品リスク管理計画<br>4. 医薬品・医療機器等安全性情報<br>5. くすりのしおり	<b>正答：4</b><br>医薬品・医療機器等安全性情報<br><br>テーマ：医薬品情報・EBM（10年11問・7/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::医薬品情報_EBM 第107回
